	x
670	YKR018C
671	YJR005C-A
672	YKL129C
673	YMR152W
674	YLR097C
675	YCL040W
676	YNL250W
677	YOR227W
678	YDR178W
679	YOL100W
680	YMR134W
681	YMR315W
682	YBR116C
683	YKL168C
684	YMR031C
685	YPR081C
686	YCR079W
687	YDR297W
688	YBL100W-B
689	YGR052W
690	YLR346C
691	YOR192C-B
692	YDR099W
693	YHR082C
694	YKL093W
695	YBR101C
696	YDR258C
697	YML120C
698	YKR096W
699	YKL086W
700	YFR052C-A
701	YKL100C
702	YKL150W
703	YBR204C
704	YLL028W
705	YGR143W
706	YDL180W
707	YMR173W
708	YIL007C
709	YDR423C
710	YLR070C
711	YIL036W
712	YJL066C
713	YHR054C
714	YMR201C
715	YDR171W
716	YOR337W
717	YNL331C
718	YOR382W
719	YIL071W-A
720	YJR138W
721	YLR425W
722	YMR173W-A
723	YOR059C
724	YCL033C
725	YNL055C
726	YMR040W
727	YLR258W
728	YJL137C
729	YER182W
730	YKL068W-A
731	YLR136C
732	YIR016W
733	YNL134C
734	YDR293C
735	YDR069C
736	YKL065C
737	YPL240C
738	YJR119C
739	YOR113W
740	YMR297W
741	YLL027W
742	YGR008C
743	YDL123W
744	YLR251W
745	YPL111W
746	YER020W
747	YLR392C
748	YBR293W
749	YGR097W
750	YER056C
751	YCL034W
752	YMR154C
753	YOL044W
754	YDL194W
755	YKL217W
756	YGR053C
757	YOR391C
758	YDR186C
759	YOL117W
760	YLR256W
761	YLR189C
762	YLR005W
763	YOR360C
764	YML130C
765	YMR004W
766	YDL206W
767	YOR383C
768	YDR089W
769	YOL087C
770	YDL115C
771	YKL085W
772	YJR059W
773	YJR148W
774	YLR064W
775	YBL050W
776	YGR048W
777	YHR195W
778	YJR011C
779	YGR044C
780	YLR211C
781	YDR169C
782	YDR512C
783	YCR024C
784	YHR198C
785	YPR185W
786	YPL280W
787	YCL044C
788	YGL250W
789	YBR170C
790	YER046W
791	YOR023C
792	YJL102W
793	YPL031C
794	YML121W
795	YAL015C
796	YCL052C
797	YGR289C
798	YBR281C
799	YDR214W
800	YCR026C
801	YMR251W
802	YIR025W
803	YDR275W
804	YOR135C
805	YOR379C
806	YPL135W
807	YMR120C
808	YGR175C
809	YCR091W
810	YHR101C
811	YML070W
812	YKR071C
813	YHR205W
814	YPR008W
815	YDL019C
816	YMR046C
817	YGR127W
818	YGL037C
819	YPL206C
820	YBR024W
821	YHR146W
822	YDR151C
823	YOR100C
824	YDL035C
825	YGR237C
826	YPR093C
827	YOR044W
828	YJL048C
829	YOR386W
830	YOR267C
831	YGL009C
832	YIL042C
833	YJL110C
834	YKL141W
835	YIR036C
836	YMR068W
837	YPL152W
838	YPL106C
839	YPL260W
840	YKL094W
841	YMR148W
842	YMR037C
843	YLR304C
844	YGL047W
845	YLL020C
846	YPL166W
847	YIL125W
848	YER004W
849	YPR115W
850	YLR119W
851	YMR189W
852	YKL064W
853	YOR107W
854	YOR134W
855	YGL197W
856	YDL214C
857	YBR183W
858	YPL274W
859	YER121W
860	YDL248W
861	YGR067C
862	YLR030W
863	YOR053W
864	YJL020C
865	YFL016C
866	YER039C
867	YJR091C
868	YFL002W-A
869	YGR161W-B
870	YGR225W
871	YDL130W-A
872	YER098W
873	YDL168W
874	YOR007C
875	YGR243W
876	YDR173C
877	YIL122W
878	YKL095W
879	YDL170W
880	YJR103W
881	YDR281C
882	YMR275C
883	YML018C
884	YGR144W
885	YFR003C
886	YDR230W
887	YJL068C
888	YER001W
889	YJR035W
890	YDR019C
891	YLR151C
892	YOR393W
893	YPL281C
894	YKL157W
895	YPL179W
896	YLR138W
897	YNL093W
898	YNR002C
899	YDR034C-D
900	YHR080C
901	YDR315C
902	YBR132C
903	YDR231C
904	YIR024C
905	YPL219W
906	YLR007W
907	YFR049W
908	YOR228C
909	YFR019W
910	YJL079C
911	YIL159W
912	YDR018C
913	YOR065W
914	YKL109W
915	YOR136W
916	YDL046W
917	YMR272C
918	YGR250C
919	YHR199C
920	YBL001C
921	YBR284W
922	YDL181W
923	YLR031W
924	YPR201W
925	YLR311C
926	YMR311C
927	YLL015W
928	YDR261W-B
929	YKL067W
930	YGL254W
931	YIL163C
932	YOL131W
933	YAL012W
934	YHL023C
935	YCR107W
936	YPR007C
937	YML004C
938	YGR161W-C
939	YDR058C
940	YGL140C
941	YNL155W
942	YLR252W
943	YJL142C
944	YOR121C
945	YAL037W
946	YOR089C
947	YGR184C
948	YOL110W
949	YKR091W
950	YHR180W
951	YPR015C
952	YGR142W
953	YIR014W
954	YOR223W
955	YKL162C
956	YPL257W-A
957	YER137C-A
958	YML118W
959	YDR365W-A
960	YLR157C-A
961	YMR034C
962	YGR209C
963	YPL181W
964	YDR426C
965	YOL103W-A
966	YDL078C
967	YMR056C
968	YNR073C
969	YMR262W
970	YDR374C
971	YGL010W
972	YOR344C
973	YMR085W
974	YHL046W-A
975	YDR210W-B
976	YGL081W
977	YDR014W-A
978	YOR237W
979	YOL099C
980	YBR047W
981	YCL048W
982	YOL047C
983	YBR013C
984	YER084W
985	YOL150C
986	YFL011W
987	YEL070W
988	YOR055W
989	YDR379C-A
990	YOR177C
991	YFL053W
992	YOL156W
993	YKL084W
994	YLR271W
995	YJL089W
996	YJR095W
997	YPR158W-A
998	YOR142W-A
999	YHR105W
1000	YNL203C
1001	YLR437C-A
1002	YDR259C
1003	YGL183C
1004	YHR137W
1005	YOR298C-A
1006	YBL048W
1007	YMR322C
1008	YOR392W
1009	YBR045C
1010	YPR168W
1011	YFR015C
1012	YDR461C-A
1013	YIL170W
1014	YMR323W
1015	YIL006W
1016	YHR001W-A
1017	YJL219W
1018	YJL067W
1019	YER179W
1020	YDL026W
1021	YMR007W
1022	YDR009W
1023	YPL119C-A
1024	YKL065W-A
1025	YGL146C
1026	YDR525W-A
1027	YEL059W
1028	YPR064W
1029	YLR361C-A
1030	YPR078C
1031	YMR174C
1032	YML045W-A
1033	YJR150C
1034	YDR210C-C
1035	YHL044W
1036	YNL284C-A
1037	YFL019C
1038	YNL266W
1039	YBL094C
1040	YLR281C
1041	YJL043W
1042	YLR279W
1043	YGL262W
1044	YIR036W-A
1045	YOR225W
1046	YDR271C
1047	YHL046C
1048	YFL052W
1049	YIL057C
1050	YLR012C
1051	YBR018C
1052	YBR148W
1053	YIL086C
1054	YKL123W
1055	YBL096C
1056	YML089C
1057	YFL058W
1058	YHL045W
1059	YDR203W
1060	YPR145C-A
1061	YJL199C
1062	YJL003W
1063	YMR084W
1064	YIL014C-A
1065	YJL133C-A
1066	YGR038C-A
1067	YDR010C
1068	YJR020W
1069	YBR226C
1070	YPL027W
1071	YCR025C
1072	YEL035C
1073	YOR339C
1074	YMR159C
1075	YOL085C
1076	YER039C-A
1077	YHR214W
1078	YKL066W
1079	YNL318C
1080	YFR023W
1081	YBR297W
1082	YFL020C
1083	YMR141C
1084	YMR158W-B
1085	YBR099C
1086	YOL132W
1087	YBR050C
1088	YPR158C-C
1089	YJR037W
1090	YHR193C-A
1091	YNL332W
1092	YCR001W
1093	YCL042W
1094	YPR010C-A
1095	YJR038C
1096	YHR136C
1097	YOL037C
1098	YDR098C-A
1099	YKL221W
1100	YGR290W
1101	YIL171W
1102	YNL269W
1103	YFL015C
1104	YBR201C-A
1105	YGR059W
1106	YPR200C
1107	YDR114C
1108	YPL282C
1109	YOR394W
1110	YER038W-A
1111	YMR135W-A
1112	YBR012W-A
1113	YGL259W
1114	YAL016C-A
1115	YLR159W
1116	YLR161W
1117	YLR156W
1118	YDL114W
1119	YEL049W
1120	YLR122C
1121	YEL033W
1122	YLR307C-A
1123	YHR214W-A
1124	YGR022C
1125	YJL015C
1126	YHR052W-A
1127	YHR054W-A
1128	YFL066C
1129	YIL028W
