	x
741	YGR162W
742	YGL050W
743	YLR008C
744	YNL066W
745	YNL102W
746	YHR148W
747	YJR071W
748	YDR454C
749	YLR293C
750	YOL022C
751	YJL063C
752	YCR053W
753	YOR209C
754	YBR171W
755	YMR062C
756	YMR241W
757	YNL029C
758	YML124C
759	YPL252C
760	YMR014W
761	YDR370C
762	YLL002W
763	YJR007W
764	YGL102C
765	YOR207C
766	YLR354C
767	YOR067C
768	YOR269W
769	YOR119C
770	YGR040W
771	YIL076W
772	YDL226C
773	YNL282W
774	YNL300W
775	YAL035W
776	YGL225W
777	YOR346W
778	YLR265C
779	YER082C
780	YPL210C
781	YBR267W
782	YLR325C
783	YBR156C
784	YPL129W
785	YLR459W
786	YER003C
787	YOR001W
788	YGL028C
789	YKL068W
790	YLR106C
791	YOR313C
792	YDL055C
793	YJR076C
794	YJR101W
795	YNL058C
796	YGR245C
797	YHR162W
798	YLR063W
799	YKL191W
800	YOL139C
801	YPL241C
802	YBR172C
803	YPR041W
804	YNL308C
805	YMR243C
806	YDR034C-C
807	YLR042C
808	YLR192C
809	YOL061W
810	YGR159C
811	YLL038C
812	YHL011C
813	YDR226W
814	YGR063C
815	YOR260W
816	YDR045C
817	YBR133C
818	YDR152W
819	YGR152C
820	YJL143W
821	YDR398W
822	YNL024C
823	YOL028C
824	YDR121W
825	YMR233W
826	YBL082C
827	YHR214C-B
828	YGR138C
829	YNL170W
830	YLR384C
831	YNL085W
832	YER110C
833	YOL014W
834	YDL145C
835	YKL119C
836	YKL082C
837	YGL162W
838	YPL144W
839	YAL029C
840	YIL082W
841	YOR276W
842	YPL146C
843	YNL010W
844	YJL193W
845	YIR021W
846	YJL181W
847	YJL035C
848	YER124C
849	YBR070C
850	YPL103C
851	YDR238C
852	YOR239W
853	YKR013W
854	YBR009C
855	YDR268W
856	YNL043C
857	YLR103C
858	YER009W
859	YMR012W
860	YLL014W
861	YGR109C
862	YLR341W
863	YML064C
864	YDR400W
865	YLR429W
866	YBL005W-A
867	YJR009C
868	YIL096C
869	YHR041C
870	YIL138C
871	YPR052C
872	YOR323C
873	YAR002C-A
874	YDR448W
875	YER049W
876	YCL011C
877	YHR077C
878	YNL254C
879	YPR143W
880	YKL130C
881	YPL058C
882	YLR091W
883	YNL114C
884	YJL217W
885	YBR085W
886	YPL217C
887	YOR277C
888	YDR413C
889	YJR074W
890	YJL169W
891	YOR116C
892	YAL003W
893	YER122C
894	YDR020C
895	YPL038W
896	YMR304C-A
897	YNL031C
898	YBL098W
899	YER145C-A
900	YOR288C
901	YFL031W
902	YGL063W
903	YML103C
904	YMR122W-A
905	YCR059C
906	YER146W
907	YJR112W
908	YLR041W
909	YMR123W
910	YDR174W
911	YML036W
912	YAR028W
913	YKL122C
914	YNL072W
915	YDR134C
916	YMR274C
917	YLR132C
918	YJL111W
919	YDR487C
920	YDR185C
921	YIL040W
922	YNR025C
923	YCL058C
924	YLR061W
925	YJL211C
926	YDL152W
927	YMR042W
928	YKL156W
929	YGR176W
930	YDR112W
931	YCR040W
932	YCL066W
933	YJR010C-A
934	YGL258W
935	YOR180C
936	YGR151C
937	YGR169C-A
938	YMR193C-A
939	YEL073C
940	YAL037C-B
941	YNL090W
942	YOR200W
943	YDL012C
944	YGL103W
945	YJL218W
946	YLR036C
947	YDL241W
948	YKL111C
949	YNL174W
950	YER087C-B
951	YHR153C
952	YJL009W
953	YNL210W
954	YJL118W
955	YDR016C
956	YLR154C
957	YIR020C-B
958	YNL222W
959	YLR400W
960	YCR045W-A
961	YOR210W
962	YNL089C
963	YPL068C
964	YGR265W
965	YJL179W
966	YIL173W
967	YDR433W
968	YMR290W-A
969	YBR206W
970	YGL226C-A
971	YFL002W-B
972	YGR161W-A
973	YPR027C
974	YOR390W
975	YGL042C
976	YAR068W
977	YLR358C
978	YJL075C
979	YAR064W
980	YJR097W
981	YGL069C
982	YIL132C
983	YGR228W
984	YHL012W
985	YPL124W
986	YGR109W-A
987	YHR022C
988	YPR130C
989	YDL062W
990	YLR363W-A
991	YBR174C
992	YER102W
993	YGL088W
994	YDR183C-A
995	YDR252W
996	YOR318C
997	YAR066W
998	YCR041W
999	YGR064W
1000	YDR157W
1001	YLR463C
1002	YBR180W
1003	YLR112W
1004	YBL083C
1005	YAL042C-A
1006	YOR314W
1007	YHR021C
1008	YBR233W-A
1009	YOR218C
1010	YER014C-A
1011	YDR522C
1012	YCR020W-B
1013	YIR043C
1014	YPL251W
1015	YDR344C
1016	YGR164W
1017	YBR300C
1018	YHR014W
1019	YIL025C
1020	YNL211C
1021	YFR056C
1022	YGR038C-B
1023	YAL059C-A
1024	YGL170C
1025	YBR058C-A
1026	YMR244W
1027	YKL037W
1028	YMR001C-A
1029	YOR072W
1030	YOR304C-A
1031	YDR523C
1032	YOR242C
1033	YHR182C-A
1034	YAR030C
1035	YMR141W-A
1036	YHR173C
1037	YNL138W-A
1038	YJL195C
1039	YJL119C
1040	YHR015W
1041	YBR089W
1042	YGL263W
1043	YER044C-A
1044	YBR012C
1045	YJL160C
1046	YLR157C-B
1047	YGR294W
1048	YPR136C
1049	YMR122C
1050	YFR032C
1051	YNL057W
1052	YPL201C
1053	YGL230C
1054	YGL194C-A
